included_pathology,min,max
Absceso de espacios anatómicos buco máxilo faciales,0,100
Absceso periapical con fístula embarazada,0,100
Absceso periapical con fístula.,6,7
Absceso periapical sin fístula,6,7
Absceso periapical sin fístula embarazada,0,100
Absceso submucoso o subperióstico de origen odontogénico,0,100
Accidente Cerebrovascular Isquémico en personas de 15 años y más,15,100
"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",15,100
Adenocarcinoma papilar infiltrante,15,100
Adenocarcinoma papilar intraductal con invasión,15,100
Adenocarcinoma papilar intraductal no infiltrante,15,100
Adenoma (benigno) de la próstata,0,100
Agenesia de la arteria pulmonar,0,15
Agujero macular traumático,0,100
Agujero oval abierto o persistente,0,15
Alcohol,0,20
Alivio del dolor y cuidados paliativos por cáncer avanzado ,0,100
Alucinógenos,0,20
Amaurosis fugaz,15,100
Amnesia global transitoria,15,100
Aneurisma (arterial) coronario congénito,0,15
Aneurisma arteriovenoso pulmonar,0,15
Aneurisma congénito de la aorta,0,15
Aneurisma de la arteria pulmonar,0,15
Aneurisma del seno de Valsalva (con ruptura),0,15
Anomalía congénita del corazón,0,15
Anomalía de Ebstein,0,15
Anomalía de la arteria pulmonar,0,15
Anomalía de la_vena cava (inferior) (superior),0,15
Aplasia de la aorta,0,15
Arco doble [aniilo vascular] de la aorta,0,15
Arteria pulmonar aberrante,0,15
Artritis idiopática juvenil,0,100
Artritis Indiferenciada,0,100
Artritis Psoriática,0,100
Artritis reumatoidea,0,100
Artritis Reumatoídea,0,100
Artritis reumatoidea seronegativa,0,100
Artritis reumatoidea seropositiva,0,100
Artritis Sistémica,0,100
Artropatía cc/entesitis,0,100
Artrosis de (la) cadera,55,100
Artrosis de (la) cadera bilateral,55,100
Artrosis de (la) cadera bilateral leve,55,100
Artrosis de (la) cadera bilateral moderada,55,100
Artrosis de (la) cadera derecha,55,100
Artrosis de (la) cadera derecha leve,55,100
Artrosis de (la) cadera derecha moderada,55,100
Artrosis de (la) cadera izquierda,55,100
Artrosis de (la) cadera izquierda leve,55,100
Artrosis de (la) cadera izquierda moderada,55,100
Artrosis de (la) cadera leve,55,100
Artrosis de (la) cadera moderada,55,100
Artrosis de (la) rodilla,55,100
Artrosis de (la) rodilla bilateral,55,100
Artrosis de (la) rodilla bilateral leve,55,100
Artrosis de (la) rodilla bilateral moderada,55,100
Artrosis de (la) rodilla derecha,55,100
Artrosis de (la) rodilla derecha leve,55,100
Artrosis de (la) rodilla derecha moderada,55,100
Artrosis de (la) rodilla izquierda,55,100
Artrosis de (la) rodilla izquierda leve,55,100
Artrosis de (la) rodilla izquierda moderada,55,100
Artrosis de (la) rodilla leve,55,100
Artrosis de (la) rodilla moderada,55,100
"Artrosis de la cadera de causa conocida o secundaria, uni o bilateral.",65,100
"Artrosis de la cadera de causa no conocida o primaria, uni o bilateral.",65,100
Asma aguda severa,15,100
Asma aguda severa,0,15
Asma alérgica extrínseca,15,100
Asma alérgica extrínseca,0,15
Asma atópica,15,100
Asma atópica,0,15
Asma bronquial en personas de 15 años y más,15,100
Asma Bronquial moderada y grave en personas menores de 15 años,0,15
Asma de aparición tardía,15,100
Asma de aparición tardía,0,15
Asma idiosincrásica,15,100
Asma idiosincrásica,0,15
Asma intrínseca no alérgica,15,100
Asma intrínseca no alérgica,0,15
Asma mixta,15,100
Asma mixta,0,15
Asma no alérgica,15,100
Asma no alérgica,0,15
Asma predominantemente alérgica,15,100
Asma predominantemente alérgica,0,15
"Asma, no especificado",15,100
"Asma, no especificado",0,15
Aspiración neonatal de meconio,0,1
Astigmatismo,65,100
Ataques de isquemia cerebral transitoria y síndromes afines,15,100
Atresia aórtica congénita,0,15
Atresia de la aorta,0,15
Atresia de la arteria pulmonar,0,15
Atresia de la válvula pulmonar,0,15
Atresia mitral congénita,0,15
"Atresia o hipoplasia acentuada del orificio o de la válvula aórtica, con hipoplasia de la aorta ascendente y defecto del desarrollo del ventrículo izquierdo (con atresia o estenosis de la válvula mitral)",0,15
Atresia tricúspide,0,15
Aumento (benigno) de la próstata,0,100
Ausencia de la aorta,0,15
Ausencia de.la vena cava (inferior) (superior),0,15
Barra mediana prostática,0,100
Bloqueo Auriculoventricular Tercer Grado (Completo),15,100
Bloqueo Av 2º Grado: Tipos Mobitz I y II,15,100
Bloqueo Bifascicular y Bloqueo Trifascicular,15,100
Bloqueo cardíaco congénito,0,15
bouffée delirante con síntomas de esquizofrenia,0,100
Bradiarritmia secundaria a complicación de ablación con radiofrecuencia,15,100
Bronconeumonía (Todas las de manejo ambulatorio),0,5
Bronconeumonía (Todas las de manejo ambulatorio),65,100
Bronconeumonia connatal,0,1
Bronconeumonia no connatal,0,1
Bronquiolitis aguda,0,5
Bronquitis aguda,0,5
Bronquitis crónica con enfisema,0,100
Bronquitis crónica con obstrucción de las vías aéreas,0,100
Bronquitis crónica enfisematosa,0,100
Bronquitis obstructiva crónica,0,100
"Bronquitis, no especificada como aguda o crónica",0,5
Cálculo (impactado) de la vesícula biliar no especificado o sin colecistitis,35,50
"Cálculo (impactado) del conducto cístico, no especificado o sin colecistitis",35,50
"Cálculo biliar (impactado) de conducto biliar sai, no especificado o sin colangitis o sin colecistitis",35,50
"Cálculo biliar (impactado) del colédoco, no especificado o sin colangitis o sin colecistitis",35,50
"Cálculo biliar (impactado) del conducto hepático, no especificado o sin colangitis o sin colecistitis",35,50
Cálculo de conducto biliar con colangitis,35,50
Cálculo de conducto biliar con colecistitis,35,50
Cálculo de conducto biliar sin colangitis ni colecistitis,35,50
Cálculo de la vesícula biliar con colecistitis aguda,35,50
Cálculo de la vesícula biliar con otra colecistitis,35,50
Cálculo de la vesícula biliar sin colecistitis,35,50
Cálculo dentario subgingival,60,61
Cálculo dentario subgingival embarazada,0,100
Cálculo dentario supragingival,60,61
Cálculo dentario Supragingival,6,7
Cálculo dentario supragingival embarazada,0,100
Canal aurículoventricular común,0,15
cáncer,0,15
Cáncer Cervicouterino,0,100
Cáncer Colorectal en personas de 15 años y más,15,100
Cáncer de (la) mama,15,100
Cáncer de glándula endocervical,0,100
Cáncer de la unión escamocolumnar del cuello uterino,0,100
Cáncer de mama en personas de 15 años y más,15,100
Cáncer de Ovario Epitelial,0,100
Cáncer de próstata en personas de 15 años y más,15,100
Cáncer de testículo en personas de 15 años y más,15,100
Cáncer del canal cervical,0,100
Cáncer del canal endocervical,0,100
Cáncer del cérvix,0,100
Cáncer del cérvix uterino,0,100
Cáncer del cuello uterino,0,100
Cáncer del muñón cervical,0,100
Cáncer del testículo (de los dos testículos),15,100
Cáncer en personas menores de 15 años,0,15
Cáncer gástrico,0,100
Cáncer Vesical en personas de 15 años y más,15,100
Candidiasis,60,61
Cannabinoides,0,20
Carcinoma basal adenoide de cuello de útero,0,100
Carcinoma canalicular infiltrante,15,100
Carcinoma canalicular y lobulillar infiltrante,15,100
Carcinoma cribiforme,15,100
Carcinoma de células de Sertoli,15,100
Carcinoma ductal in situ,15,100
"Carcinoma ductal, tipo cribiforme",15,100
"Carcinoma ductal, tipo sólido",15,100
Carcinoma ductular infiltrante,15,100
Carcinoma hipersecretorio quístico,15,100
Carcinoma in situ de la mama,15,100
Carcinoma in situ de otras partes especificadas del cuello del útero,0,100
"Carcinoma in situ del cuello del útero, parte no especificada",0,100
Carcinoma in situ del endocervix,0,100
Carcinoma in situ del estómago,0,100
Carcinoma in situ del exocervix,0,100
Carcinoma in situ intracanalicular de la mama,15,100
Carcinoma in situ lobular de la mama,15,100
Carcinoma inflamatorio,15,100
"Carcinoma intraductal, tipo sólido",15,100
Carcinoma juvenil de la glándula mamaria,15,100
Carcinoma lobulillar,15,100
Carcinoma medular con estroma linfoide,15,100
Carcinoma secretorio de la mama,15,100
Cardiopatías congénitas operables en menores de 15 años,0,15
Caries de la dentina,60,61
Caries de la dentina,6,7
Caries de la dentina embarazada,0,100
Caries del cemento,60,61
Caries del cemento embarazada,0,100
